アドレス,言語,単語,再翻訳,翻訳,一致,類似度_difflib,分類,類似度_ai,類似度_claude
P140,id,床,床,Lantai,True,100.0%,完全一致,100%,100
P141,id,出口,出口,Pintu keluar,True,100.0%,完全一致,100%,100
P142,id,電気,電気,Listrik,True,100.0%,完全一致,100%,100
P143,id,警報音,アラーム音,Bunyi alarm,False,25.0%,不一致,14%,100
P144,id,コンセント,電気ソケット,Stopkontak,False,18.2%,不一致,11%,100
P145,id,作業場,作業エリア,Area kerja,False,50.0%,不一致,33%,100
P146,id,作業台,ワークベンチ,Meja kerja,False,0.0%,不一致,0%,100
P147,id,工事現場,建設現場,Lokasi konstruksi,False,50.0%,不一致,33%,100
P148,id,職長,フォアマン,Mandor,False,0.0%,不一致,0%,100
P149,id,作業責任者,作業担当者,Penanggung jawab pekerjaan,False,60.0%,不一致,42%,100
P150,id,禁止,禁断,Dilarang,False,50.0%,不一致,33%,100
P151,id,表示板,看板,Papan tanda,False,40.0%,不一致,25%,100
P152,id,禁止事項,禁止されているもの,Hal-hal yang dilarang,False,30.8%,不一致,18%,100
P153,id,避難訓練,避難訓練,Latihan evakuasi,True,100.0%,完全一致,100%,100
P154,id,感電（する）,感電した,Tersengat listrik,False,40.0%,不一致,25%,100
P155,id,防止（する）,防止,Pencegahan,False,50.0%,不一致,30%,100
P156,id,予防（する）,防止,Pencegahan,False,25.0%,不一致,14%,100
P157,id,転倒（する）,つまずく/転倒,Tersandung / Terjatuh,False,30.8%,不一致,18%,100
P158,id,挟まる,立ち往生,Terjepit,False,0.0%,不一致,0%,100
P159,id,足元,踏み場,Area pijakan,False,0.0%,不一致,0%,100
P160,id,不安定（な）,不安定,Tidak stabil,False,66.7%,不一致,45%,100
P161,id,後片付け,最終的な整理,Beres-beres akhir,False,0.0%,不一致,0%,100
P162,id,救   箱,救急箱,Kotak P3K,False,50.0%,不一致,50%,95
P163,id,絆創膏,石膏,Plester,False,40.0%,不一致,25%,100
P164,id,体調,体調,Kondisi fisik,True,100.0%,完全一致,100%,100
P165,id,血,血,Darah,True,100.0%,完全一致,100%,100
P166,id,熱中症,熱中症,Heatstroke (serangan panas),True,100.0%,完全一致,100%,100
P167,id,吐き気,吐き気,Mual,True,100.0%,完全一致,100%,100
P168,id,嘔吐（する）,吐瀉物,Muntah,False,22.2%,不一致,12%,100
P169,id,足がつる,脚のけいれん,Kram kaki,False,0.0%,不一致,0%,100
P170,id,気分が悪い,気分が悪い,Merasa tidak enak badan,True,100.0%,完全一致,100%,100
P171,id,寝不足,睡眠不足,Kurang tidur,False,57.1%,不一致,40%,100
P172,id,安全ネット,セーフティネット,Jaring keselamatan,False,46.2%,不一致,30%,100
P173,id,安全点検,安全確認,Pemeriksaan keselamatan,False,50.0%,不一致,33%,100
P174,id,KY活動（危険予知活動）,KY（危険予知）活動,Kegiatan KY (Prediksi Bahaya),False,81.8%,不一致,100%,100
P175,id,危険,危険,Bahaya,True,100.0%,完全一致,100%,100
P176,id,ぶつかる,衝突/衝突,Menabrak / Membentur,False,0.0%,不一致,0%,100
P177,id,当たる,影響を受ける/懸念される,Terkena / Mengenai,False,13.3%,不一致,7%,70
P178,id,下敷きになる,ヒット,Tertimpa,False,0.0%,不一致,0%,60
P179,id,打つ,打つ,Memukul,True,100.0%,完全一致,100%,100
P180,id,バランスを崩す,バランスの喪失,Kehilangan keseimbangan,False,57.1%,不一致,40%,100
P181,id,倒れる,折りたたまれた/折りたたまれた,Tumbang / Roboh,False,11.1%,不一致,12%,100
P182,id,転落（する）,高所からの落下,Jatuh dari ketinggian,False,15.4%,不一致,8%,100
P183,id,指差呼称,指差しと呼びかけ,Tunjuk-sebut (Pointing & Calling),False,50.0%,不一致,33%,100
P184,id,ヒヤリハット,ニアミス,Kejadian nyaris celaka (near-miss),False,0.0%,不一致,0%,100
P185,id,原因,理由,Penyebab,False,0.0%,不一致,0%,100
P186,id,対策,対策,Tindakan penanggulangan,True,100.0%,完全一致,100%,100
P187,id,落下（する）,秋,Jatuh,False,0.0%,不一致,0%,100
P188,id,墜落（する）,落下（高所からの落下）,Jatuh (dari ketinggian),False,35.3%,不一致,25%,100
P189,id,確認（する）,確認する,Memastikan / Konfirmasi,False,80.0%,不一致,80%,100
P190,id,作業着,作業服,Seragam kerja,False,66.7%,不一致,50%,100
P191,id,作業服,作業服,Pakaian kerja,True,100.0%,完全一致,100%,100
P192,id,作業靴,作業靴,Sepatu kerja,True,100.0%,完全一致,100%,100
P193,id,手袋,手袋,Sarung tangan,True,100.0%,完全一致,100%,100
P194,id,帽子,帽子,Topi,True,100.0%,完全一致,100%,100
P195,id,保護帽（ヘルメット）,安全ヘルメット,Helm keselamatan,False,58.8%,不一致,41%,100
P196,id,保護具,PPE（個人用保護具）,APD (Alat Pelindung Diri),False,42.9%,不一致,24%,100
P197,id,あごひも,あごストラップ,Tali dagu,False,36.4%,不一致,22%,100
P198,id,ボタン,ボタン,Kancing,True,100.0%,完全一致,100%,100
P199,id,ポケット,ポケット,Saku,True,100.0%,完全一致,100%,100
P200,id,保護メガネ,保護メガネ,Kacamata pelindung,True,100.0%,完全一致,100%,100
P201,id,マスク,フェイスマスク,Masker,False,60.0%,不一致,38%,100
P202,id,栓,プラグ/カバー,Sumbat / Penutup,False,0.0%,不一致,0%,100
P203,id,安全靴,安全靴,Sepatu keselamatan,True,100.0%,完全一致,100%,100
P204,id,墜落制止用器具（安全帯）,墜落制止用器具（安全ハーネス）,Perangkat penahan jatuh (safety harness),False,81.5%,不一致,80%,100
P205,id,業務,タスク/ジョブ,Tugas / Pekerjaan,False,0.0%,不一致,0%,100
P206,id,時間厳守,時間通りに,Tepat waktu,False,44.4%,不一致,28%,100
P207,id,予定,スケジュール/計画,Jadwal / Rencana,False,0.0%,不一致,0%,100
P208,id,日付,日付,Tanggal,True,100.0%,完全一致,100%,100
P209,id,準備（する）,準備 / 準備中,Persiapan / Mempersiapkan,False,28.6%,不一致,22%,100
P210,id,会議,ミーティング,Rapat,False,0.0%,不一致,0%,100
P211,id,朝礼,朝の点呼 / 朝のブリーフィング,Apel pagi / briefing pagi,False,11.1%,不一致,7%,100
P212,id,報告書,報告,Laporan,False,80.0%,不一致,60%,100
P213,id,マニュアル,マニュアル,Manual,True,100.0%,完全一致,100%,100
P214,id,作業手順書,標準操作手順（SOP）,Prosedur kerja (SOP),False,37.5%,不一致,23%,100
P215,id,調子,状態 / パフォーマンス,Kondisi / Performa,False,0.0%,不一致,0%,100
P216,id,立入禁止,立入り禁止,Dilarang masuk,False,88.9%,不一致,96%,100
P217,id,禁煙,禁煙,Dilarang merokok,True,100.0%,完全一致,100%,100
P218,id,火気厳禁,火気厳禁,Dilarang menyalakan api,True,100.0%,完全一致,100%,100
P219,id,駐車禁止,駐車禁止,Dilarang parkir,True,100.0%,完全一致,100%,100
P220,id,足もと注意,足元に注意してください,Hati-hati melangkah,False,37.5%,不一致,23%,100
P221,id,開口部注意,開口部/穴に注意,Awas bukaan / lubang,False,76.9%,不一致,78%,100
P222,id,感電注意,感電に注意してください,Awas sengatan listrik,False,53.3%,不一致,36%,100
P223,id,堕落注意,高所からの落下に注意してください,Awas jatuh dari ketinggian,False,30.0%,不一致,17%,100
P224,id,頭上注意,落下物にご注意ください（上）,Awas benda jatuh (di atas),False,22.2%,不一致,20%,100
P225,id,警報設備,警報装置,Peralatan alarm,False,50.0%,不一致,33%,100
P226,id,消火器,消火器（APAR）,Alat pemadam api (APAR),False,50.0%,不一致,30%,100
P227,id,AED設置場所,AEDの場所,Lokasi AED,False,76.9%,不一致,78%,100
P228,id,保護帽着用,安全ヘルメットの着用は義務付けられています,Wajib memakai helm keselamatan,False,15.4%,不一致,8%,100
P229,id,安全帯使用,安全ハーネスを使用する,Gunakan safety harness,False,50.0%,不一致,33%,100
P230,id,昇降階段,階段の上り下り,Tangga naik-turun,False,36.4%,不一致,25%,100
P231,id,休憩所,休憩所,Tempat istirahat,True,100.0%,完全一致,100%,100
P232,id,最大積載荷重,最大積載量,Kapasitas muatan maksimum,False,72.7%,不一致,77%,100
P233,id,喫煙所,喫煙エリア,Area merokok,False,50.0%,不一致,33%,100
P234,id,整理整頓,整頓と整理,Kerapian dan penataan,False,44.4%,不一致,95%,100
P235,id,安全通路,安全ライン,Jalur keselamatan,False,44.4%,不一致,28%,100
P236,id,三連クランプ,トリプルクランプ,Klem tiga sambungan (triple clamp),False,57.1%,不一致,44%,100
P237,id,"ベルトコンベア
（ベルコン）",ベルトコンベア,Konveyor sabuk (belt conveyor),False,66.7%,不一致,45%,100
P238,id,かけや,木槌（かけや）,Palu kayu (kakeya),False,60.0%,不一致,38%,100
P239,id,ランマ,ハンドコンパクター（ランマー）,Pemadat tangan (rammer),False,33.3%,不一致,18%,100
P240,id,自在クランプ,スイベルクランプ,Klem putar (swivel clamp),False,57.1%,不一致,40%,100
P241,id,キャッチクランプ,フッククランプ,Klem pengait,False,66.7%,不一致,76%,100
P242,id,吊り上げ用クランプ,リフティングクランプ,Klem pengangkat,False,42.1%,不一致,28%,100
P243,id,直交クランプ,角度/垂直クランプ,Klem siku / tegak lurus,False,66.7%,不一致,50%,100
P244,id,フック,フック,Kait,True,100.0%,完全一致,100%,100
P245,id,ストレートシャックル,ストレートシャックル,Shackle lurus,True,100.0%,完全一致,100%,100
P246,id,滑車,滑車,Katrol (pulley),True,100.0%,完全一致,100%,100
P247,id,クレーン,クレーン,Kren (crane),True,100.0%,完全一致,100%,100
P248,id,移動式クレーン,移動式クレーン,Mobile crane,True,100.0%,完全一致,100%,100
P249,id,介しゃくロープ,キャッチフレーズ,Tali pemandu (tag line),False,13.3%,不一致,7%,100
P250,id,昇降階段,階段の上り下り,Tangga naik-turun,False,36.4%,不一致,25%,100
P251,id,筋かい止めピン,ブレースピン,Pin pengikat bracing,False,30.8%,不一致,18%,100
P252,id,脚柱ジョイント,ポール接続,Sambungan tiang,False,0.0%,不一致,0%,100
P253,id,連結ピン,接続ピン,Pin penghubung,False,50.0%,不一致,33%,100
P254,id,ジョイント金具,接続継手,Fiting sambungan,False,0.0%,不一致,0%,100
P255,id,レバーブロック,レバーブロック（レバーハンドル）,Lever block (takel tuas),False,60.9%,不一致,39%,100
P256,id,電動のこ（丸のこ）,電動丸鋸,Gergaji bundar listrik,False,46.2%,不一致,37%,100
P257,id,モンキースパナ,レンチ,Kunci inggris,False,20.0%,不一致,11%,100
P258,id,親綱支柱,ライフラインポール,Tiang lifeline,False,0.0%,不一致,0%,100
P259,id,ブラケット,ブラケット,Braket,True,100.0%,完全一致,100%,100
P260,id,梯子,ラダー,Tangga,False,0.0%,不一致,0%,100
P261,id,親綱,ライフライン,Tali pengaman (lifeline),False,0.0%,不一致,0%,100
P262,id,建枠（ビティ）,足場フレーム,Rangka perancah (frame scaffold),False,0.0%,不一致,0%,100
P263,id,メッシュシート,防護ネット（メッシュシート）,Jaring pelindung (mesh sheet),False,66.7%,不一致,45%,100
P264,id,防音パネル,防音パネル,Panel peredam suara,True,100.0%,完全一致,100%,100
P265,id,朝顔材,アサガオ（保護用の天蓋）,Kanopi pelindung (asagao),False,0.0%,不一致,0%,100
P266,id,架空線,架空ケーブル,Kabel udara,False,44.4%,不一致,28%,100
P267,id,幅木（仮設足場）,足場の縁板（つま先板）,Papan tepi perancah (toe board),False,31.6%,不一致,28%,100
P268,id,単管,足場管（単管）,Pipa scaffolding (single pipe),False,44.4%,不一致,25%,100
P269,id,脚立,折りたたみはしご,Tangga lipat,False,0.0%,不一致,0%,100
P270,id,作業半径,作業半径,Jari-jari kerja,True,100.0%,完全一致,100%,100
P271,id,仮ボルト,仮ボルト,Baut sementara,True,100.0%,完全一致,100%,100
P272,id,手直し,手直し/軽微な修理,Rework / Perbaikan kecil,False,50.0%,不一致,30%,100
P273,id,面一,フラッシュサーフェス,Rata permukaan (flush),False,0.0%,不一致,0%,100
P274,id,点検事項,検査項目,Item pemeriksaan,False,50.0%,不一致,33%,100
P275,id,積載荷重,負荷負荷,Beban muatan,False,25.0%,不一致,20%,100
P276,id,すき間,ギャップ,Celah,False,0.0%,不一致,0%,100
P277,id,通りを見る,真直度の確認,Memeriksa kelurusan,False,0.0%,不一致,0%,100
P278,id,組立,組み立て/設置,Perakitan / Pemasangan,False,44.4%,不一致,28%,100
P279,id,地組,地上組み立て,Perakitan di tanah,False,50.0%,不一致,33%,100
P280,id,天端,トップレベル,Permukaan atas (top level),False,0.0%,不一致,0%,100
P281,id,玉掛け,荷役,Pengikatan beban (slinging),False,0.0%,不一致,0%,100
P282,id,合図,信号,Isyarat,False,0.0%,不一致,0%,100
P283,id,定格荷重,公称容量,Kapasitas nominal,False,0.0%,不一致,0%,100
P284,id,たち,垂直/真直度,Plumb / Ketegakan,False,0.0%,不一致,0%,100
P285,id,職長,フォアマン,Mandor,False,0.0%,不一致,0%,100
P286,id,安全カバー,安全カバー,Penutup pengaman,True,100.0%,完全一致,100%,100
P287,id,安全帯,安全ベルト/ハーネス,Sabuk/ harness keselamatan,False,30.8%,不一致,18%,100
P288,id,インサート,挿入/アンカー,Insert / angkur tanam,False,33.3%,不一致,20%,100
P289,id,スペーサ,スペーサー,Spacer,False,88.9%,不一致,72%,100
P290,id,鉄筋,鉄筋,Besi tulangan (rebar),True,100.0%,完全一致,100%,100
P291,id,電工ドラム（ドラム）,電気ケーブルリール,Gulungan kabel listrik,False,10.5%,不一致,7%,100
P292,id,電動丸のこ（電のこ）,電動丸鋸,Gergaji bundar listrik,False,42.9%,不一致,37%,100
P293,id,パッキン,ガスケット,Paking / Gasket,False,22.2%,不一致,12%,100
P294,id,小バール,ジェミー,Linggis kecil,False,25.0%,不一致,14%,100
P295,id,大バール,大きなバール,Linggis besar,False,80.0%,不一致,80%,100
P296,id,化粧合板,装飾合板,Plywood dekoratif,False,50.0%,不一致,33%,100
P297,id,普通合板,標準合板,Plywood standar,False,50.0%,不一致,33%,100
P298,id,スタイロフォーム,発泡スチロール（XPS/EPS）,Styrofoam (XPS/EPS),False,25.0%,不一致,15%,100
P299,id,面木,面取り刃,Bilah chamfer,False,33.3%,不一致,20%,100
P300,id,バイブレーター,コンクリートバイブレーター,Vibrator beton,False,70.0%,不一致,48%,100
P301,id,剥離剤,離型剤,Agen pelepas (release agent),False,66.7%,不一致,50%,100
P302,id,けこみ板,ライザーボード（階段）,Papan riser (tangga),False,0.0%,不一致,0%,100
P303,id,目地棒,ジョイントロッド,Batang nat (joint rod),False,0.0%,不一致,0%,100
P304,id,コンクリート,コンクリート,Beton,True,100.0%,完全一致,100%,100
P305,id,コンベックス,ロールメーター,Meteran gulung,False,0.0%,不一致,0%,100
P306,id,作業用手袋,作業用手袋,Sarung tangan kerja,True,100.0%,完全一致,100%,100
P307,id,差金,大工の定規,Penggaris siku tukang,False,0.0%,不一致,0%,100
P308,id,水平器,ウォーターパス,Waterpass,False,0.0%,不一致,0%,100
P309,id,墨さし,インクマーカーツール,Alat penanda tinta,False,0.0%,不一致,0%,100
P310,id,墨つぼ,チョークラインツール,Alat garis tinta (chalk line),False,0.0%,不一致,0%,100
P311,id,"丸セパレーター
（丸セパ）",丸型セパレーター,Separator bulat,False,66.7%,不一致,78%,100
P312,id,天端釘,水平調整釘,Paku penentu level,False,25.0%,不一致,14%,100
P313,id,ケレン,削り取り/清掃（クール）,Pengerokan/pembersihan (keren),False,0.0%,不一致,0%,100
P314,id,型枠支保工,型枠サポート,Penyangga bekisting,False,36.4%,不一致,22%,100
P315,id,"基礎型枠
（メタルフォーム）",基礎型枠（金属型枠）,Bekisting pondasi (metal form),False,50.0%,不一致,37%,100
P316,id,釘仕舞い,釘付けの暖炉,Perapian paku,False,20.0%,不一致,11%,90
P317,id,スラブ天端,スラブの最上層,Level atas slab,False,50.0%,不一致,33%,100
P318,id,高さ（タッパ）,身長,Ketinggian,False,0.0%,不一致,0%,60
P319,id,建込み,インストール,Pemasangan,False,0.0%,不一致,0%,100
P320,id,通り,線/直線性,Garis / Kelurusan,False,0.0%,不一致,0%,100
P321,id,蹴上げ,ライザー（階段）,Riser (tangga),False,0.0%,不一致,0%,100
P322,id,蹴込み,トレッド面積,Bidang injak (tread),False,0.0%,不一致,0%,95
P323,id,工具の手入れ,ツールのメンテナンス,Perawatan alat,False,12.5%,不一致,7%,100
P324,id,下げ振り,振り子（下げ振り）,Bandul unting-unting (plumb bob),False,61.5%,不一致,40%,100
P325,id,地墨,土地基準線,Garis acuan tanah,False,28.6%,不一致,16%,100
P326,id,捨てコンクリート,コンクリート作業床,Beton lantai kerja,False,70.6%,不一致,76%,100
P327,id,はね出し,カンチレバー,Kantilever,False,0.0%,不一致,0%,100
P328,id,はらみ,膨らんだ,Menggembung (bulging),False,28.6%,不一致,16%,100
P329,id,前面,正面,Bagian depan,False,50.0%,不一致,33%,100
P330,id,養生,保護/硬化,Proteksi / curing,False,0.0%,不一致,0%,100
P331,id,レベル,レベル,Level,True,100.0%,完全一致,100%,100
P332,id,割付,部門・レイアウト,Pembagian / Layout,False,0.0%,不一致,0%,100
P333,id,埋め込み金物,アンカー/埋め込み鉄,Angkur/besi tanam,False,50.0%,不一致,33%,100
P334,id,解体する（バラス）,開梱,Membongkar,False,0.0%,不一致,0%,85
P335,id,かぶり寸法,コンクリートかぶり厚さ,Tebal selimut beton,False,37.5%,不一致,23%,100
P336,id,異形棒鋼,異形鉄筋,Besi ulir (deformed bar),False,50.0%,不一致,33%,100
P337,id,結束線,結束ワイヤー,Kawat ikat,False,44.4%,不一致,28%,100
P338,id,結束工具,製本ツール,Alat pengikat,False,0.0%,不一致,0%,100
P339,id,鉄筋切断機,鉄筋カッター,Pemotong tulangan,False,36.4%,不一致,22%,100
P340,id,鉄筋曲げ加工機,鉄筋ベンダー,Pembengkok tulangan,False,30.8%,不一致,18%,100
P341,id,フック,フック,Kait,True,100.0%,完全一致,100%,100
P342,id,保護帽（ヘルメット）,安全ヘルメット,Helm keselamatan,False,58.8%,不一致,41%,100
P343,id,アンカー,アンカー,Angkur (anchor),True,100.0%,完全一致,100%,100
P344,id,加工場,製作ワークショップ,Bengkel fabrikasi,False,0.0%,不一致,0%,100
P345,id,スペーサ―,スペーサー,Spacer,False,80.0%,不一致,96%,100
P346,id,ドーナツ,ドーナツスペーサー,Spacer donat,False,61.5%,不一致,40%,100
P347,id,加工配筋図,鉄筋製作図,Gambar fabrikasi tulangan,False,40.0%,不一致,25%,100
P348,id,配筋詳細図,補強の詳細画像,Gambar detail penulangan,False,33.3%,不一致,20%,95
P349,id,開口補強筋,開口部補強補強,Tulangan penguat bukaan,False,66.7%,不一致,80%,90
P350,id,幅止め筋,幅広の区切り線,Batang pembatas lebar,False,18.2%,不一致,10%,85
P351,id,差筋,ダボバー,Dowel bar,False,0.0%,不一致,0%,100
P352,id,柱主筋,主柱補強,Tulangan utama kolom,False,28.6%,不一致,40%,100
P353,id,柱配筋,柱の補強,Penulangan kolom,False,28.6%,不一致,16%,100
P354,id,スラブ筋,プレート補強（スラブ）,Tulangan pelat (slab),False,40.0%,不一致,25%,100
P355,id,ベース筋,基礎補強,Tulangan pondasi,False,0.0%,不一致,0%,100
P356,id,帯筋（フープ）,フープ,Sengkang (hoop),False,60.0%,不一致,38%,100
P357,id,下端筋,下部補強,Tulangan bawah,False,28.6%,不一致,16%,100
P358,id,上端筋,上部補強,Tulangan atas,False,28.6%,不一致,16%,100
P359,id,主筋,主な補強,Tulangan utama,False,33.3%,不一致,20%,100
P360,id,あばら筋,あぶみ,Sengkang / Stirrup,False,28.6%,不一致,16%,100
P361,id,はかま筋,臀部の補強,Tulangan haunch,False,0.0%,不一致,0%,70
P362,id,縦筋,縦方向の補強,Tulangan memanjang,False,25.0%,不一致,14%,100
P363,id,下筋,下部補強,Tulangan bawah,False,33.3%,不一致,20%,100
P364,id,横筋,横方向の補強,Tulangan melintang,False,25.0%,不一致,14%,100
P365,id,腹筋,体の骨（ウェブ）,Tulangan badan (web),False,0.0%,不一致,0%,20
P366,id,配力筋,流通強化,Tulangan distribusi,False,0.0%,不一致,0%,100
P367,id,上筋,上部補強,Tulangan atas,False,33.3%,不一致,20%,100
P368,id,スパイラル筋,スパイラル補強,Tulangan spiral,False,76.9%,不一致,78%,100
P369,id,鉄筋径,鉄筋直径,Diameter tulangan,False,85.7%,不一致,95%,100
P370,id,かぶり厚さ,毛布の厚さ,Tebal selimut,False,40.0%,不一致,25%,30
P371,id,ℝ度,Rサイズ（半径）,Ukuran R (radius),False,0.0%,不一致,0%,60
P372,id,シングル,シングル,Tunggal,True,100.0%,完全一致,100%,100
P373,id,ダブル,ダブル,Ganda,True,100.0%,完全一致,100%,100
P374,id,千鳥結束,交互結び,Ikatan selang-seling,False,25.0%,不一致,14%,100
P375,id,切断寸法,切断長さ,Panjang potong,False,50.0%,不一致,33%,100
P376,id,加工寸法,製作サイズ,Ukuran fabrikasi,False,0.0%,不一致,0%,100
P377,id,重ね継手,重ね継ぎ,Sambungan tumpang-tindih (lap splice),False,75.0%,不一致,78%,100
P378,id,圧接継手,プレス溶接継手,Sambungan tekan/las tekan,False,54.5%,不一致,37%,100
P379,id,開口部,絞り,Bukaan,False,0.0%,不一致,0%,30
P380,id,溶接金網,金網（溶接金網）,Wire mesh (jaring kawat las),False,66.7%,不一致,45%,100
P381,id,搬出,発行/発送,Mengeluarkan / Kirim keluar,False,0.0%,不一致,0%,20
P382,id,搬入,入力/送信,Memasukkan / Kirim masuk,False,28.6%,不一致,16%,20
P383,id,基礎,財団,Pondasi,False,0.0%,不一致,0%,95
P384,id,機械式継手,機械的接続,Sambungan mekanis,False,40.0%,不一致,25%,100
P385,id,配筋検査,補強検査,Pemeriksaan penulangan,False,50.0%,不一致,33%,100
P386,id,トラクタ,トラクター,Traktor,False,88.9%,不一致,72%,100
P387,id,ブルドーザ,ブルドーザー,Bulldozer,False,90.9%,不一致,75%,100
P388,id,トラクタショベル,トラクターショベル,Traktor shovel,False,94.1%,不一致,97%,100
P389,id,ホイルローダ,ホイールローダー,Wheel loader,False,85.7%,不一致,100%,100
P390,id,ダンプトラック,ダンプトラック,Dump truk,True,100.0%,完全一致,100%,100
P391,id,油圧ショベル,油圧ショベル,Excavator hidraulik,True,100.0%,完全一致,100%,100
P392,id,バックホウ,バックホー,Backhoe,False,80.0%,不一致,80%,100
P393,id,ローディングショベル,ローディングショベル,Loading shovel,True,100.0%,完全一致,100%,100
P394,id,ローラ,ローラー,Roller,False,85.7%,不一致,67%,100
P395,id,バケット,バケツ,Bucket,False,57.1%,不一致,40%,100
P396,id,ブーム,ブーム,Boom,True,100.0%,完全一致,100%,100
P397,id,アーム,アーム,Arm,True,100.0%,完全一致,100%,100
P398,id,ブレード（排土板）,ブレード（ドーザー）,Blade (dozer),False,63.2%,不一致,78%,95
P399,id,タイヤ,タイヤ,Ban,True,100.0%,完全一致,100%,100
P400,id,クローラ,トラック/チェーン,Track / Rantai,False,30.8%,不一致,30%,95
P401,id,キー（鍵）,鍵,Kunci,False,33.3%,不一致,18%,100
P402,id,"作業装置
（アタッチメント）",作業機（アタッチメント）,Peralatan kerja (attachment),False,84.6%,不一致,94%,100
P403,id,エンジン,エンジン,Engine,True,100.0%,完全一致,100%,100
P404,id,ディーゼルエンジン,ディーゼルエンジン,Mesin diesel,True,100.0%,完全一致,100%,100
P405,id,エンジンオイル,エンジンオイル,Oli mesin,True,100.0%,完全一致,100%,100
P406,id,"オルタネータ
（充電発電機）",オルタネーター,Alternator,False,57.1%,不一致,41%,100
P407,id,バッテリ,バッテリー,Baterai,False,88.9%,不一致,72%,100
P408,id,燃料,燃料,Bahan bakar,True,100.0%,完全一致,100%,100
P409,id,軽油,太陽光（ディーゼル）,Solar (diesel),False,0.0%,不一致,0%,40
P410,id,ブレーキ,ブレーキ,Rem,True,100.0%,完全一致,100%,100
P411,id,油圧シリンダ,油圧シリンダー,Silinder hidrolik,False,92.3%,不一致,77%,100
P412,id,油圧モータ,油圧モーター,Motor hidrolik,False,90.9%,不一致,75%,100
P413,id,油圧ポンプ,油圧ポンプ,Pompa hidrolik,True,100.0%,完全一致,100%,100
P414,id,水漏れ,水漏れ,Bocor air,True,100.0%,完全一致,100%,100
P415,id,油漏れ,オイル漏れ,Bocor oli,False,50.0%,不一致,33%,100
P416,id,冷却水,冷却剤,Cairan pendingin,False,66.7%,不一致,50%,100
P417,id,ブレーキ液,ブレーキフルード,Minyak rem,False,61.5%,不一致,50%,100
P418,id,燃料タンク,燃料タンク,Tangki bahan bakar,True,100.0%,完全一致,100%,100
P419,id,ファンベルト,ファンベルト,Tali kipas,True,100.0%,完全一致,100%,100
P420,id,空気圧,空気圧,Tekanan udara,True,100.0%,完全一致,100%,100
P421,id,クラッチ,クラッチ,Kopling,True,100.0%,完全一致,100%,100
P422,id,発進,歩き始める,Mulai berjalan,False,0.0%,不一致,0%,70
P423,id,ブレーキ,ブレーキ,Rem,True,100.0%,完全一致,100%,100
P424,id,アイドリング,アイドル,Idle,False,60.0%,不一致,42%,100
P425,id,走行,徒歩 / 運転,Berjalan / Mengemudi,False,0.0%,不一致,0%,70
P426,id,旋回,ターン/ターン（スイング）,Berputar / Menoleh (swing),False,0.0%,不一致,0%,95
P427,id,安全ロック,安全ロック,Kunci pengaman,True,100.0%,完全一致,100%,100
P428,id,安全支柱,安全ブレース,Penopang pengaman,False,40.0%,不一致,25%,100
P429,id,補給（する）,充填/追加,Mengisi / Menambah,False,0.0%,不一致,0%,100
P430,id,駐車（する）,駐車場,Parkir,False,44.4%,不一致,28%,80
P431,id,歩行者,歩行者,Pejalan kaki,True,100.0%,完全一致,100%,100
P432,id,車両,車両,Kendaraan,True,100.0%,完全一致,100%,100
P433,id,死ℝ,死角,Titik buta (blind spot),False,50.0%,不一致,33%,100
P434,id,斜面,スロープ,Lereng,False,0.0%,不一致,0%,100
P435,id,転圧（する）,圧縮,Pemadatan,False,25.0%,不一致,14%,100
P436,id,接触（する）,タッチ/接触,Bersentuhan / Kontak,False,33.3%,不一致,20%,100
P437,id,作動（する）,操作する,Beroperasi,False,60.0%,不一致,42%,90
P438,id,整備（する）,メンテナンス/サービス,Perawatan / Servis,False,0.0%,不一致,0%,100
P439,id,点検（する）,検査・診察,Inspeksi / Pemeriksaan,False,18.2%,不一致,10%,90
P440,id,動かす,移動,Menggerakkan,False,40.0%,不一致,25%,100
P441,id,運転（する）,操作/運転,Mengoperasikan / Mengemudi,False,36.4%,不一致,22%,100
P442,id,測る,測定,Mengukur,False,50.0%,不一致,33%,100
P443,id,操作（する）,オペレーティング,Mengoperasikan,False,0.0%,不一致,0%,95
P444,id,停止（する）,停止/停止,Berhenti / Menghentikan,False,36.4%,不一致,28%,100
P445,id,切る,カット/オフ,Memotong / Mematikan,False,0.0%,不一致,0%,100
P446,id,回す,回転,Memutar,False,50.0%,不一致,33%,100
P447,id,押す,押す,Menekan,True,100.0%,完全一致,100%,100
P448,id,集める,集める,Mengumpulkan,True,100.0%,完全一致,100%,100
P449,id,触る,触る,Menyentuh,True,100.0%,完全一致,100%,100
P450,id,縛る,ネクタイ,Mengikat,False,0.0%,不一致,0%,30
P451,id,揃える,水平調整/位置合わせ,Meratakan / Menyelaraskan,False,0.0%,不一致,0%,100
P452,id,結ぶ,ネクタイ,Mengikat,False,0.0%,不一致,0%,30
P453,id,しゃがむ,しゃがむ,Jongkok,True,100.0%,完全一致,100%,100
P454,id,調整（する）,調整/カスタマイズ,Penyesuaian / Menyesuaikan,False,26.7%,不一致,15%,95
P455,id,閉じる,近い,Menutup,False,0.0%,不一致,0%,20
P456,id,取り出す,放出する,Mengeluarkan,False,50.0%,不一致,33%,85
P457,id,戻す,戻る,Mengembalikan,False,50.0%,不一致,33%,95
P458,id,仕上げる,仕上げ,Menyelesaikan (finishing),False,85.7%,不一致,67%,100
